date,open,high,low,close
2021-06-07,4229.3,4232.3,4215.7,4226.5
2021-06-08,4233.8,4236.7,4208.4,4227.3
2021-06-09,4233.0,4237.1,4218.7,4219.5
2021-06-10,4228.6,4249.7,4220.3,4239.2
2021-06-11,4242.9,4248.4,4232.3,4247.4
2021-06-14,4248.3,4255.6,4234.1,4255.1
2021-06-15,4255.3,4257.2,4238.4,4246.6
2021-06-16,4248.9,4251.9,4202.5,4223.7
2021-06-17,4220.4,4232.3,4196.0,4221.9
2021-06-18,4204.8,4204.8,4164.4,4166.5
2021-06-21,4173.4,4226.2,4173.4,4224.8
2021-06-22,4224.6,4255.8,4217.3,4246.4
2021-06-23,4249.3,4256.6,4241.4,4241.8
2021-06-24,4257.0,4271.3,4257.0,4266.5
2021-06-25,4274.5,4286.1,4271.2,4280.7
2021-06-28,4284.9,4292.1,4274.7,4290.6
2021-06-29,4293.2,4300.5,4287.0,4291.8
2021-06-30,4290.6,4302.4,4288.0,4297.5
2021-07-01,4300.7,4320.7,4300.7,4319.9
2021-07-02,4326.6,4355.4,4326.6,4352.3
2021-07-04,4338.8,4342.6,4338.3,4339.1
2021-07-05,4339.4,4347.4,4333.1,4346.4
2021-07-06,4356.5,4356.5,4314.4,4343.5
2021-07-07,4351.0,4361.9,4329.8,4358.1
2021-07-08,4321.1,4330.9,4289.4,4320.8
2021-07-09,4329.4,4371.6,4329.4,4369.5
2021-07-12,4372.4,4386.7,4364.0,4384.6
2021-07-13,4381.1,4392.4,4366.9,4369.2
2021-07-14,4380.1,4393.7,4362.4,4374.3
2021-07-15,4369.0,4369.0,4340.7,4360.0
2021-07-16,4367.4,4375.1,4322.5,4327.2
2021-07-18,4327.5,4328.5,4311.7,4316.0
2021-07-19,4316.2,4317.5,4233.0,4270.3
2021-07-20,4270.0,4337.0,4261.5,4332.8
2021-07-21,4332.6,4364.9,4318.3,4362.4
2021-07-22,4361.9,4379.7,4350.0,4377.5
2021-07-23,4377.3,4415.3,4375.8,4406.9
2021-07-26,4403.7,4424.6,4383.7,4419.6
2021-07-27,4419.4,4420.6,4372.5,4399.9
2021-07-28,4399.7,4415.6,4387.3,4401.7
2021-07-29,4401.4,4430.2,4387.9,4394.1
2021-07-30,4393.6,4412.3,4377.8,4402.1
2021-08-01,4404.8,4415.9,4403.0,4414.2
2021-08-02,4413.9,4426.7,4385.0,4394.0
2021-08-03,4393.8,4424.3,4373.2,4415.8
2021-08-04,4416.0,4422.6,4399.8,4405.1
2021-08-05,4405.3,4429.9,4401.6,4423.9
2021-08-06,4424.1,4440.1,4423.4,4437.5
2021-08-08,4435.1,4435.5,4419.5,4421.8
2021-08-09,4421.5,4438.7,4419.1,4432.3
2021-08-10,4432.1,4445.4,4423.6,4434.3
2021-08-11,4434.4,4449.8,4427.6,4445.0
2021-08-12,4444.8,4462.0,4436.2,4458.1
